iter	Passed	Remaining
918	71436	6296
919	71511	6218
920	71586	6140
921	71668	6063
922	71743	5985
923	71817	5907
924	71891	5829
925	71968	5751
926	72043	5673
927	72116	5595
928	72201	5518
929	72272	5439
930	72349	5362
931	72424	5284
932	72505	5206
933	72579	5128
934	72655	5050
935	72731	4973
936	72807	4895
937	72882	4817
938	72960	4739
939	73037	4661
940	73112	4584
941	73187	4506
942	73259	4428
943	73334	4350
944	73407	4272
945	73483	4194
946	73557	4116
947	73631	4038
948	73705	3960
949	73777	3883
950	73855	3805
951	73937	3727
952	74022	3650
953	74110	3573
954	74196	3496
955	74280	3418
956	74364	3341
957	74444	3263
958	74526	3186
959	74617	3109
960	74701	3031
961	74787	2954
962	74870	2876
963	74956	2799
964	75041	2721
965	75123	2644
966	75199	2566
967	75279	2488
968	75362	2410
969	75439	2333
970	75516	2255
971	75602	2177
972	75694	2100
973	75776	2022
974	75859	1945
975	75943	1867
976	76025	1789
977	76106	1712
978	76188	1634
979	76273	1556
980	76352	1478
981	76437	1401
982	76521	1323
983	76602	1245
984	76687	1167
985	76768	1090
986	76850	1012
987	76934	934
988	77012	856
989	77097	778
990	77178	700
991	77263	623
992	77344	545
993	77419	467
994	77501	389
995	77586	311
996	77669	233
997	77751	155
998	77824	77
999	77899	0
